source_name;source_url;content_type;content;date_published;language;"emocion";content_transformers
AprendemosJuntos;https://www.youtube.com/watch?v=2eQGcYotnp0;comment;Gracias por todo, en momentos de angustia, ansiedad, estrés, oír estás voces tan tranquilizantes, y temas tan interesantes, me relaja mucho, gracias❤️;2024-11-19T02:24:57Z;es;"Alegria";Gracias por todo, en momentos de angustia, ansiedad, estrés, oír estás voces tan tranquilizantes, y temas tan interesantes, me relaja mucho, gracias emoji_corazón_rojo
AprendemosJuntos;https://www.youtube.com/watch?v=2eQGcYotnp0;comment;El corazón se me acelero cuando hablo del trastorno del espectro autista porque era lo q estaba esperando a ver si mencionaba pues mi hijo esta pasando por eso y ha sido muy muy difícil pues paso inadvertida para sus maestros aunque se agravo a partir de los 17 Se aisló completamente.pero ya venia desde los 8 anos El psiquiatra le mandaba pastillas le subía las dosis pero nada funciono .Ahora esta centrado en un curso por internet y lo llevo a psicoterapias una vez por semana.Ojala que no se desanime .;2021-10-13T21:03:37Z;es;"Tristeza";El corazón se me acelero cuando hablo del trastorno del espectro autista porque era lo q estaba esperando a ver si mencionaba pues mi hijo esta pasando por eso y ha sido muy muy difícil pues paso inadvertida para sus maestros aunque se agravo a partir de los 17 Se aisló completamente.pero ya venia desde los 8 anos El psiquiatra le mandaba pastillas le subía las dosis pero nada funciono .Ahora esta centrado en un curso por internet y lo llevo a psicoterapias una vez por semana.Ojala que no se desanime .
AprendemosJuntos;https://www.youtube.com/watch?v=2eQGcYotnp0;comment;"Que bueno es ver una maestra interesada en la salud mental de sus alumnos;  que de hecho esto lleva a una salud colectiva de la que todos somos responsables";2024-04-19T02:42:06Z;es;"Alegria";"Que bueno es ver una maestra interesada en la salud mental de sus alumnos; que de hecho esto lleva a una salud colectiva de la que todos somos responsables"
AprendemosJuntos;https://www.youtube.com/watch?v=2eQGcYotnp0;comment;Cuidar de tu salud mental te permitirá vivir una vida más plena y satisfactoria;2024-07-04T23:32:22Z;es;"Alegria";Cuidar de tu salud mental te permitirá vivir una vida más plena y satisfactoria
AprendemosJuntos;https://www.youtube.com/watch?v=2eQGcYotnp0;comment;Muchas gracias por su conferencia Dra gracias ❤️ desde Perú Ica 12oct.2021 💓;2021-10-12T16:18:57Z;es;"Alegria";Muchas gracias por su conferencia Dra gracias emoji_corazón_rojo desde Perú Ica 12oct.2021 emoji_corazón_latiendo
AprendemosJuntos;https://www.youtube.com/watch?v=2eQGcYotnp0;comment;Vivo en Cataluña,tengo 2 adolescentes y es duro y difícil, gracias por las orientaciónes .Me han ayudado mucho.;2024-04-19T03:29:36Z;es;"Alegria";Vivo en Cataluña,tengo 2 adolescentes y es duro y difícil, gracias por las orientaciónes .Me han ayudado mucho.
AprendemosJuntos;https://www.youtube.com/watch?v=2eQGcYotnp0;comment;Hola Soy Peruana y me veo y soy De carater y una personalidad FUERTE sin Miedo y voy viviendo la vida hermosa estudiando  y capacitandome Ahora COACH estoy Aprendiendo mas y mas von sus conferencias  BBVA me enoja la gente Floja y conformista no los quiero ni como sombra su pesimismo esta marcado no quieten evolucionar;2024-10-15T19:19:30Z;es;"Ira";Hola Soy Peruana y me veo y soy De carater y una personalidad FUERTE sin Miedo y voy viviendo la vida hermosa estudiando y capacitandome Ahora COACH estoy Aprendiendo mas y mas von sus conferencias BBVA me enoja la gente Floja y conformista no los quiero ni como sombra su pesimismo esta marcado no quieten evolucionar
AprendemosJuntos;https://www.youtube.com/watch?v=2eQGcYotnp0;comment;"El video ""Una mirada a la salud mental de los jóvenes""  con la Psiquiatra Montserrat , trajeron a  mi  mente  recuerdos de caritas tristes,  a veces muy alegres, a veces ansiosos, me parece que la Psiquiatra Montserrat, conoce actitudes y comportamientos de los jóvenes, EXCELENTE VIDEO ,";2024-06-02T21:31:45Z;es;"Alegria";"El video ""Una mirada a la salud mental de los jóvenes"" con la Psiquiatra Montserrat , trajeron a mi mente recuerdos de caritas tristes, a veces muy alegres, a veces ansiosos, me parece que la Psiquiatra Montserrat, conoce actitudes y comportamientos de los jóvenes, EXCELENTE VIDEO ,"
AprendemosJuntos;https://www.youtube.com/watch?v=2eQGcYotnp0;comment;Excelente ponencia. De mucha ayuda para conocer un poco màs a los adolescentes. Gracias.;2021-10-07T03:00:05Z;es;"Alegria";Excelente ponencia. De mucha ayuda para conocer un poco màs a los adolescentes. Gracias.
AprendemosJuntos;https://www.youtube.com/watch?v=2eQGcYotnp0;comment;soy comunicador social con discapacidad multiple,quisiera participar en el canal compartiendo mi historia y hablando de comunicacion asertiva en contextos de diversidad y salud mental,gracias por estos espacios,quisiera participar en el canal y programa;2024-07-19T19:14:39Z;es;"Alegria";soy comunicador social con discapacidad multiple,quisiera participar en el canal compartiendo mi historia y hablando de comunicacion asertiva en contextos de diversidad y salud mental,gracias por estos espacios,quisiera participar en el canal y programa
